ID,Cliente,Tipo Seguro,Descrição,Valor
1,Vinícius Adrian Siqueira,Automovel,Carro foi roubado,
2,Marta Ferreira de Oliveira,Automovel,A casa foi invadido e todos os bens de valor foram roubados,
3,Carlos Augusto de Matos,Automovel,Carlos foi encontrado morto dentro de casa devido a um infarto,
4,Nolfindo,Automovel,Descrição teste,0.0
5,Tereza,Automovel,Teste de fechamento,0.0
6,Rosangela,Automovel,Testando mais,0.0
7,André,Automovel,Mais testes,0.0
8,Vinícius Adrian Siqueira,Automovel,Carro foi roubado,
9,Marta Ferreira de Oliveira,Automovel,A casa foi invadido e todos os bens de valor foram roubados,
10,Carlos Augusto de Matos,Automovel,Carlos foi encontrado morto dentro de casa devido a um infarto,
11,Alessandra ,Automovel,Furto,10000.0
